ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,User-ID,Book-Rating,Rating-Count
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,11676,5,197
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,11676,8,137
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,11676,9,422
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,11676,7,84
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",11676,8,60
0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday,11676,8,98
0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster,11676,8,56
0446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books,11676,9,77
0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown",11676,7,77
0316693200,2nd Chance,James Patterson,2002,"Little, Brown",11676,7,73
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,11676,3,145
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,11676,8,186
0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group,11676,6,65
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,11676,7,59
0743211383,Dreamcatcher,Stephen King,2001,Scribner,11676,8,51
0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island,11676,7,67
0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf,11676,7,76
0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press,11676,7,56
0385493800,The Testament,John Grisham,1999,Doubleday Books,11676,8,61
0425166619,Toxin,Robin Cook,1999,Berkley Publishing Group,11676,6,51
0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador,11676,8,84
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,11676,10,73
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner,11676,9,155
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,11676,7,98
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone,11676,6,138
0553584510,The Survivors Club,LISA GARDNER,2003,Bantam,11676,4,51
0553273914,The House of the Spirits,Isabel Allende,1986,Bantam Books,11676,6,93
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,11676,1,222
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell,11676,8,84
0446601241,Kiss the Girls,James Patterson,1995,Warner Books,11676,9,147
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,11676,9,144
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books,11676,8,115
0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,11676,9,78
006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999,HarperCollins,11676,10,53
0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial,11676,4,53
0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books,11676,8,281
0380789019,Neverwhere,Neil Gaiman,1998,Avon,11676,7,116
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon,11676,6,141
067101420X,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket,11676,4,67
0553571656,The Beekeeper's Apprentice,LAURIE R. KING,1996,Bantam,11676,9,52
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial,11676,5,93
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books,11676,10,105
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,11676,7,90
0451169530,The Stand: Complete and Uncut,Stephen King,1991,Signet Book,11676,5,88
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,11676,8,123
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,11676,10,202
0553258001,The Cider House Rules,John Irving,1986,Bantam Books,11676,8,53
0373218400,Table For Two,Nora Roberts,2002,Silhouette,11676,5,73
0441003257,Good Omens,Neil Gaiman,1996,Ace Books,11676,7,88
0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket,11676,10,84
0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,11676,7,103
0671038184,Jewel,Bret Lott,1999,Washington Square Press,11676,4,123
0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,11676,10,213
038531258X,Cold Sassy Tree,Olive Ann Burns,1986,Delta,11676,7,54
006092988X,A Tree Grows in Brooklyn,Betty Smith,1998,Perennial,11676,9,51
0743225406,The Shipping News : A Novel,Annie Proulx,2001,Scribner,11676,10,93
0786885688,Shopgirl,Steve Martin,2001,Hyperion,11676,9,72
0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books,11676,8,85
080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books,11676,8,170
0385508417,Skipping Christmas,JOHN GRISHAM,2002,Doubleday,11676,8,51
014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,11676,10,119
0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star,11676,8,99
0312983824,Faking It,Jennifer Crusie,2003,St. Martin's Paperbacks,11676,7,93
0440224624,The Loop,Nicholas Evans,1999,Dell Publishing Company,11676,7,102
0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press,11676,8,259
0345370805,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books,11676,4,89
0375703055,Ellen Foster,Kaye Gibbons,1997,Vintage Books,11676,7,117
0312243022,The Hours : A Novel,Michael Cunningham,2000,Picador,11676,7,69
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,11676,7,140
0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,11676,5,105
0440940001,Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,Laure Leaf,11676,8,58
0425163385,The Night Crew,John Sandford,2004,Berkley Publishing Group,11676,8,52
0671042262,The Blue Nowhere : A Novel,Jeffery Deaver,2002,Pocket,11676,7,83
0425157539,Sudden Prey,John Sandford,1997,Berkley Publishing Group,11676,6,67
0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA,11676,5,79
0449912558,The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books,11676,10,53
0440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company,11676,7,268
0894805770,What to Expect the First Year,Arlene Eisenberg,1989,Workman Publishing,11676,10,55
0688177751,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,2000,Perennial,11676,8,84
0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books,11676,6,106
0375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA,11676,9,189
0399145087,Black Notice,Patricia Daniels Cornwell,1999,Putnam Pub Group,11676,6,59
0425177173,Atlantis Found,Clive Cussler,2001,Berkley Publishing Group,11676,3,51
0553572997,The Alienist,Caleb Carr,1995,Bantam Books,11676,7,182
0380727501,Notes from a Small Island,Bill Bryson,1997,Perennial,11676,7,57
0373218192,Engaging The Enemy,Nora Roberts,2003,Silhouette,11676,8,79
0385512104,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon,2003,Doubleday,11676,9,69
0440236673,The Brethren,John Grisham,2000,Island,11676,8,210
0425158616,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group,11676,10,134
0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,11676,10,102
0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,11676,10,65
0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket,11676,8,67
0425161242,Chromosome 6,Robin Cook,2000,Berkley Publishing Group,11676,8,59
0425169863,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group,11676,8,116
0446609323,Black Friday,James Patterson,1989,Warner Vision,11676,5,69
0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision,11676,10,210
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,11676,10,319
0425167313,Here on Earth,Alice Hoffman,1998,Berkley Publishing Group,11676,8,130
034540288X,The Lost World,Michael Crichton,1996,Ballantine Books,11676,10,156
0316182540,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown",11676,9,53
0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,11676,10,174
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,11676,3,63
0553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam,11676,10,75
0316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",11676,10,138
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,11676,10,62
0671034022,Mercy,Julie Garwood,2002,Pocket,11676,8,55
0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage,11676,8,68
0446607711,The Simple Truth,David Baldacci,1999,Warner Books,11676,9,100
0140254544,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books,11676,8,69
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,11676,7,143
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,11676,10,285
038082101X,Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch,11676,8,67
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,11676,9,90
0345378482,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,11676,7,82
0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,11676,8,65
0425122123,Clear and Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,11676,7,86
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday,11676,9,203
0060922532,Pigs in Heaven,Barbara Kingsolver,1994,Perennial,11676,8,70
1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,11676,9,81
0375706410,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA,11676,8,56
0425133540,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,11676,5,103
0380731851,Mystic River,Dennis Lehane,2002,HarperTorch,11676,6,156
0446604666,Sick Puppy,Carl Hiaasen,2001,Warner Vision,11676,10,91
0061015725,Prey,Michael Crichton,2003,Avon Books,11676,6,62
0553579754,Fear Nothing,DEAN KOONTZ,1998,Bantam,11676,8,99
0449221482,J Is for Judgment,Sue Grafton,1999,Fawcett Books,11676,7,122
0140298479,Bridget Jones: The Edge of Reason,Helen Fielding,2001,Penguin Books,11676,3,120
0345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books,11676,6,296
0449003787,"\O\"" Is for Outlaw""",SUE GRAFTON,2001,Ballantine Books,11676,7,103
0385265700,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,Anchor,11676,7,187
1573229326,How to Be Good,Nick Hornby,2002,Riverhead Books,11676,7,104
0385424736,The Rainmaker,John Grisham,1995,Doubleday Books,11676,8,60
0446605239,The Notebook,Nicholas Sparks,1998,Warner Books,11676,6,272
0671004549,You Belong To Me,Mary Higgins Clark,1999,Pocket Books,11676,6,79
055356160X,Cry Wolf,TAMI HOAG,1993,Bantam,11676,9,81
0515120618,Montana Sky,Nora Roberts,2000,Jove Books,11676,9,68
0385335830,Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta,11676,8,57
0142004235,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books,11676,10,65
0515135062,Three Fates,Nora Roberts,2004,Jove Books,11676,9,79
0743412028,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,11676,7,100
0452269571,Bastard Out of Carolina,Dorothy Allison,1993,Plume Books,11676,9,78
051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,11676,10,154
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,11676,8,101
0446532231,"Dude, Where's My Country?",Michael Moore,2003,Warner Books,11676,7,104
0312291639,The Nanny Diaries: A Novel,Emma McLaughlin,2003,St. Martin's Griffin,11676,9,162
0684874350,ANGELA'S ASHES,Frank McCourt,1996,Scribner,11676,7,138
0446611212,Violets Are Blue,James Patterson,2002,Warner Vision,11676,6,159
0316168688,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,2003,"Little, Brown",11676,9,80
034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,11676,6,127
0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994,Avon,11676,10,126
0451153553,Misery,Stephen King,1988,New Amer Library,11676,9,78
0425147622,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group,11676,5,141
0345384369,Intensity,DEAN KOONTZ,1996,Ballantine Books,11676,6,71
0312305060,The Hours: A Novel,Michael Cunningham,2002,Picador,11676,9,158
0399146431,The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,11676,9,63
0375706771,Midwives: A Novel,Chris Bohjalian,1998,Vintage,11676,6,225
0060987561,I Know This Much Is True,Wally Lamb,1999,Regan Books,11676,9,129
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press,11676,8,90
0446603309,The Witness,Sandra Brown,1996,Warner Books,11676,8,51
0786881852,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,1997,Hyperion,11676,6,128
0345413873,Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2000,Ballantine Books,11676,5,79
1559029838,Call of the Wild,Jack London,1997,Selldowns/no More Orders,11676,9,122
0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,11676,7,151
0380002930,Watership Down,Richard Adams,1976,Avon,11676,5,139
0060958022,Five Quarters of the Orange,Joanne Harris,2002,Perennial,11676,3,84
0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday,11676,10,109
0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002,Knopf,11676,9,66
0553582135,Final Target,Iris Johansen,2002,Bantam Books,11676,8,95
0385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday,11676,8,183
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,11676,10,115
0440221471,The Runaway Jury,JOHN GRISHAM,1997,Dell,11676,9,230
0425180964,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001,Berkley Publishing Group,11676,10,67
0743411250,The Woman Next Door,Barbara Delinsky,2002,Pocket,11676,8,73
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,11676,8,194
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1999,Bantam Books,11676,7,76
0671683993,The Temple of My Familiar,Alice Walker,1990,Pocket,11676,9,64
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,11676,8,179
0679751602,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1994,Vintage Books USA,11676,6,51
0684857820,Lucky,Alice Sebold,1999,Scribner,11676,6,56
006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999,Perennial,11676,10,60
0425118703,Midnight,Dean R. Koontz,1995,Berkley Publishing Group,11676,8,67
0061000043,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch,11676,9,54
0553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991,Bantam,11676,8,95
044661064X,The First Counsel,Brad Meltzer,2001,Warner Vision,11676,10,63
0345447840,The Surgeon,TESS GERRITSEN,2002,Ballantine Books,11676,8,81
0446602612,The Poet,Michael Connelly,1997,Warner Books,11676,5,53
0446612790,2nd Chance,James Patterson,2003,Warner Vision,11676,8,140
0446606383,The Midnight Club,James Patterson,1999,Warner Vision,11676,8,61
0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,11676,5,82
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,11676,6,118
0553272535,Night,Elie Wiesel,1982,Bantam Books,11676,10,105
068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone,11676,4,191
0375504397,Black House,Stephen King,2001,Random House Trade,11676,3,56
0452283205,Falling Angels,Tracy Chevalier,2002,Plume Books,11676,7,55
0440213525,The Client,John Grisham,1994,Dell Publishing Company,11676,5,226
0440111811,Changes,Danielle Steel,1984,Dell,11676,9,52
0064400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,11676,9,78
0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket,11676,8,91
0440221315,The Gift,DANIELLE STEEL,1996,Dell,11676,9,59
0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,11676,10,190
0671864173,WAITING TO EXHALE,Terry McMillan,1993,Pocket,11676,5,55
0440200989,Weep No More My Lady,Mary Higgins Clark,1993,Dell,11676,4,73
0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket,11676,7,87
0446607193,Unspeakable,Sandra Brown,1999,Warner Books,11676,8,65
0767905385,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000,Broadway,11676,10,77
0440211263,Circle of Friends,Maeve Binchy,1991,Dell,11676,8,152
0767900383,Under the Tuscan Sun,Frances Mayes,1997,Broadway,11676,8,100
0684865742,Tis: A Memoir,Frank McCourt,2000,Scribner,11676,8,80
074343627X,Dreamcatcher,Stephen King,2001,Pocket,11676,10,96
067102423X,Bag of Bones,Stephen King,1999,Pocket,11676,8,91
0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books,11676,10,180
0316666009,1st to Die: A Novel,James Patterson,2001,Little Brown and Company,11676,8,59
0446611867,A Bend in the Road,Nicholas Sparks,2002,Warner Books,11676,8,126
0385336179,Shopaholic Ties the Knot,Sophie Kinsella,2003,Delta,11676,7,103
0452268060,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Julia Alvarez,1992,Plume Books,11676,8,54
044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books,11676,8,205
0142002267,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,2002,Penguin Books,11676,8,60
0802130208,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987,Grove Press,11676,3,65
0060199652,Prodigal Summer,Barbara Kingsolver,2000,HarperCollins,11676,10,60
034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books,11676,6,98
0060987529,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books,11676,8,137
0553277472,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,1984,Bantam,11676,7,80
0553560247,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,1993,Bantam,11676,9,86
051512608X,The Reef,Nora Roberts,1999,Jove Books,11676,7,84
0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,11676,7,262
